fP1R,fP2R,fP3R,JK1,JK2,JK3,MC1,MC2,MC3,MG1,MG2,MG3,PK1,PK2,PK3,sP1R,sP2R,sP3R
1.0,0.07073899740868683,0.12897249953587475,0.1567789952755032,0.1698104493557402,0.15365230530722018,0.13800002068118378,0.050108345262055876,0.12128465420093748,0.011567262657326105,0.036747850208417865,0.003366599679930027,0.1040409451225246,0.11346192751318573,0.16847791861388628,0.14329977325419152,0.06790618777223223,0.11075432878325575
0.07073899740868683,1.0,0.11570483392884778,0.05710280908843912,0.05713738859301998,0.04987065131149804,0.04727958017300182,0.02148777163374105,0.041351559043743547,0.009754663019634457,0.02308719978585949,0.0027328878559813585,0.0406923677415969,0.05788563005008296,0.061177536952038536,0.066175204985636,0.8586404922923174,0.049166611153808826
0.12897249953587475,0.11570483392884778,1.0,0.35040919016330785,0.3992196786122417,0.3606081695024995,0.3144286593119201,0.10195169250594327,0.27531966067506985,0.011770595009535145,0.05773532873940279,0.003582704784967472,0.22062369093392165,0.20693256362304058,0.3814151870488547,0.2663585331755327,0.09696407333071932,0.25687719121468866
0.1567789952755032,0.05710280908843912,0.35040919016330785,1.0,0.5110996073696097,0.45755661172891937,0.39258931553423015,0.12649248087876697,0.34122949379780765,0.018878593627045137,0.07612983596485856,0.005400667817778926,0.282927957000762,0.27950009515727015,0.49070813789946766,0.342610779356155,0.05209594082899116,0.28180054208123784
0.1698104493557402,0.05713738859301998,0.3992196786122417,0.5110996073696097,1.0,0.6098577579615747,0.44868803082185793,0.13953262559554558,0.38806206092787243,0.016785016856447288,0.0784010665788113,0.004941383723303883,0.3185027859796373,0.31538511047436546,0.6400291325819427,0.3772159461097765,0.05066665898437972,0.30903937851768004
0.15365230530722018,0.04987065131149804,0.3606081695024995,0.45755661172891937,0.6098577579615747,1.0,0.4035961042620142,0.12658870225860153,0.3509125939242037,0.013812706592166712,0.06973604957502422,0.004191892538944586,0.2849686670758462,0.27208235666404434,0.5960090510511818,0.3399380345400177,0.04375065889151197,0.27842627657975416
0.13800002068118378,0.04727958017300182,0.3144286593119201,0.39258931553423015,0.44868803082185793,0.4035961042620142,1.0,0.3669138579202519,0.5036678841163622,0.04493798613571176,0.1940116382703616,0.00623599853072776,0.245589848884198,0.23150572816631554,0.427758789421238,0.2947466346323946,0.04227509790867878,0.2467263107438945
0.050108345262055876,0.02148777163374105,0.10195169250594327,0.12649248087876697,0.13953262559554558,0.12658870225860153,0.3669138579202519,1.0,0.5781845245529905,0.06003102653191217,0.2052565522555173,0.006278099704594919,0.08320874899230801,0.0849818779615813,0.13558148649197366,0.1020050522665702,0.020415855229820146,0.08569801305548086
0.12128465420093748,0.041351559043743547,0.27531966067506985,0.34122949379780765,0.38806206092787243,0.3509125939242037,0.5036678841163622,0.5781845245529905,1.0,0.044556556516705426,0.16108430832337184,0.005904772989884122,0.2155299192332406,0.20246278359108205,0.37073254287722324,0.2578548282865031,0.036876596699306985,0.21617521261365702
0.011567262657326105,0.009754663019634457,0.011770595009535145,0.018878593627045137,0.016785016856447288,0.013812706592166712,0.04493798613571176,0.06003102653191217,0.044556556516705426,1.0,0.0990614594924294,0.009762575996454359,0.01498669105348649,0.024933280852490802,0.018288089399559615,0.021316593537377915,0.01041934422352031,0.01807389123676284
0.036747850208417865,0.02308719978585949,0.05773532873940279,0.07612983596485856,0.0784010665788113,0.06973604957502422,0.1940116382703616,0.2052565522555173,0.16108430832337184,0.0990614594924294,1.0,0.015399911345133854,0.052983335794672515,0.06638510460253044,0.07947440345418189,0.07030101936472255,0.02370688663350362,0.05866369397858262
0.003366599679930027,0.0027328878559813585,0.003582704784967472,0.005400667817778926,0.004941383723303883,0.004191892538944586,0.00623599853072776,0.006278099704594919,0.005904772989884122,0.009762575996454359,0.015399911345133854,1.0,0.004023027702427795,0.006537003135249075,0.005307300078959631,0.0060664236725044285,0.0028610072368754347,0.005187448352260593
0.1040409451225246,0.0406923677415969,0.22062369093392165,0.282927957000762,0.3185027859796373,0.2849686670758462,0.245589848884198,0.08320874899230801,0.2155299192332406,0.01498669105348649,0.052983335794672515,0.004023027702427795,1.0,0.26374859893738667,0.31492761055191876,0.2206178470019421,0.03780715544415669,0.18395494959995784
0.11346192751318573,0.05788563005008296,0.20693256362304058,0.27950009515727015,0.31538511047436546,0.27208235666404434,0.23150572816631554,0.0849818779615813,0.20246278359108205,0.024933280852490802,0.06638510460253044,0.006537003135249075,0.26374859893738667,1.0,0.35855835358249544,0.2339730272953281,0.05717686537617939,0.19448640161382247
0.16847791861388628,0.061177536952038536,0.3814151870488547,0.49070813789946766,0.6400291325819427,0.5960090510511818,0.427758789421238,0.13558148649197366,0.37073254287722324,0.018288089399559615,0.07947440345418189,0.005307300078959631,0.31492761055191876,0.35855835358249544,1.0,0.3680281800983697,0.05558414304463255,0.30155515242711106
0.14329977325419152,0.066175204985636,0.2663585331755327,0.342610779356155,0.3772159461097765,0.3399380345400177,0.2947466346323946,0.1020050522665702,0.2578548282865031,0.021316593537377915,0.07030101936472255,0.0060664236725044285,0.2206178470019421,0.2339730272953281,0.3680281800983697,1.0,0.06399123571502041,0.23846471688751425
0.06790618777223223,0.8586404922923174,0.09696407333071932,0.05209594082899116,0.05066665898437972,0.04375065889151197,0.04227509790867878,0.020415855229820146,0.036876596699306985,0.01041934422352031,0.02370688663350362,0.0028610072368754347,0.03780715544415669,0.05717686537617939,0.05558414304463255,0.06399123571502041,1.0,0.05062566097817678
0.11075432878325575,0.049166611153808826,0.25687719121468866,0.28180054208123784,0.30903937851768004,0.27842627657975416,0.2467263107438945,0.08569801305548086,0.21617521261365702,0.01807389123676284,0.05866369397858262,0.005187448352260593,0.18395494959995784,0.19448640161382247,0.30155515242711106,0.23846471688751425,0.05062566097817678,1.0
