"","P2S1","P2WF","P3S1","P3WF","P4B2","P4S1","P4S2","P4S3","P5S1","P5S2"
"1",22.2919770632495,40.1264685270289,54.9683425742832,308.702863447389,128.580624364243,42.7323481564696,16.0419907817221,6.78194366236372,31.9695447536827,33.7862147325645
"2",10.0280018400028,11.3364288705732,20.2514946326307,59.365935278344,55.1632943840356,23.4019211363327,7.01264168458137,2.99737688649111,22.0796855852773,17.7484545747016
"3",4.20091968973091,5.24730742276532,9.8846580944983,63.9325456843705,19.5578952816126,8.87659077585035,2.81880695164545,1.65007111428046,8.39488045690229,5.98743045893548
"4",6.70792014973162,23.9355787787102,535.700250877444,123.298480962715,23.6700681356953,5.09853767703801,7.58556992678573,1.99825125766074,6.55490665812919,6.41510406314515
"5",4.878487381623,5.19118648776248,25.3143682907883,60.2792573595493,26.7792720009773,7.40938568893293,5.86678520017265,1.99825125766074,10.3498526180987,7.48428807366934
"6",6.09810922702874,6.59420986283342,0,77.6323769024499,37.6113370800243,8.21634848673751,7.21889585177494,2.28587833262706,11.2698395174853,12.6698305247117
"7",12.6027590691927,16.4714944233328,0,0,53.3579502041945,8.80323052150448,16.7982560614318,4.14788518635638,21.274697048314,13.5786369336572
"8",1.89718953729783,3.33919563266884,0,0,9.92939298912641,2.56760890210547,2.72713843289275,0.590392417036127,0,2.99371522946774
"9",10.2990289167597,106.433353232882,0,0,21.7644270569741,0,10.8398023425065,2.72488807862828,24.9546446458602,11.3868097120826
"10",0,7.35184248537173,30.618331170763,0,12.7377061577682,6.41902225526368,2.54380139538736,1.13537003276178,0,7.8050432768266
"11",2.57475722918991,4.96670274775113,0,0,11.3335495734473,4.32825500640637,3.39173519384981,0.66608375255358,8.39488045690229,8.01888007893144
"12",4.0654061513525,11.5328521430831,12.7777287563027,74.892410658834,25.9768968099368,8.50978950412099,6.43971344237701,1.83173031952234,12.6498198665651,14.6478209441814
"13",0,3.95652591770005,10.6079257599494,0,8.42493950592544,0,0.916685187526976,0.696360286760561,5.404923033896,4.33019524262298
"14",6.09810922702874,12.0660010256101,0,0,25.1745216188963,7.77618696066229,3.18548102665624,0.999125628830369,19.089728162271,9.51573769366531
"15",4.53970353567695,6.31360518781923,0,0,16.4486914163306,3.30121144556418,5.0188514017102,1.19592310117575,0,3.79560323736088
"16",0,4.57385620273127,0,0,4.41306355072285,0,1.60419907817221,0.423871478897733,0,0
"17",0,4.12488872270856,0,49.3193923850858,11.0326588768071,1.68728584995502,1.94795602349482,0,0,3.84906243788709
"18",1.626162460541,11.0277637280576,18.0816916362774,25.5730182737482,0,0,0.687513890645232,0.363318410483771,14.9497871150315,16.5188929625988
"19",0,1.62750711508229,0,56.6259690347282,0,0,0.710431020333407,0,2.75996069815966,4.75786884683265
"20",5.28502799675825,7.74468903039159,8.43812276359611,132.431701774767,28.5846161808185,7.29934530741413,12.741924106625,2.36156966814451,20.1247134240808,21.8648130152197
"21",0,3.17083282766033,0,0,0,0,0,0,0,0
"22",0,18.5199085509364,168.039187606471,53.8860027911123,25.9768968099368,4.58501589661692,2.40629861725831,0,14.4897936653382,22.8805378252177
"23",0,0.673451220034051,0,0,0,0,0,0,0,0
"24",0,1.43108384257236,0,0,0,0,0,0,0,0
"25",0,1.76780945258938,5.06287365815766,0,0,0,0,0,0,0
"26",0,4.3213119952185,7.95594431996204,0,17.050472809611,2.42088839341373,2.24587870944109,0.454148013104713,14.4897936653382,13.8993921368145
"27",1.96494630648704,26.3207185163308,10.1257473163153,35.6195611670064,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0
"29",2.23597338324387,1.06629776505391,0,0,6.71989222496434,2.71432941079721,0.641679631268883,0.514701081518675,8.39488045690229,6.41510406314515
"30",0,0,0,0,0,0,0.343756945322616,0.151382671034904,0,2.08490882052217
"31",2.16821661405466,35.0475239092721,0,149.784821317668,11.3335495734473,1.65060572278209,1.65003333754856,0.560115882829146,12.9948149538351,10.6383809047157
"32",0,7.04317734285612,5.3039628799747,109.598649744635,7.72286121376499,1.8706864858197,2.54380139538736,0.469286280208204,4.8299312217794,4.91824644841128
"33",0,0,0,0,0,0,0,0,0,0
"34",0,0.47702794752412,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,0
"36",0,0.392846545019863,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,18.744733075001,25.8742530546854
"48",0,0,0,0,0,0,0,0,0,0
"49",5.89483891946112,19.5862063159903,74.4965695414628,0,0,0,0,0,12.0748280544485,13.4182593320786
"50",0,8.92322866545118,188.531771460919,95.8988185265558,0,0,0,0,20.3547101489275,15.0754945483911
"51",4.878487381623,151.077557027639,34.9579371634696,41.0994936542382,0,0,0,0,19.2047265246943,16.2515969599677
"52",101.635153783812,99.1656921500141,335.837285991125,0,0,0,1.92503889380665,0,227.926754323018,394.742736685532
"53",4.47194676648775,5.6682144352866,6.75049821087689,0,0,0,0,0,0,0
"54",1.69391922973021,25.6753277637982,54.4861641306491,41.0994936542382,0,1.46720508691741,3.96466343605417,4.05705558373544,16.5597641889579,13.3113409310262
"55",0,25.2263602837755,54.2450749088321,34.7062390858011,0,0,0,0,14.7197903901848,16.3050561604939
"56",1.42289215297337,13.6935081406924,58.5846809015387,0,0,0,0,0,0,0
"57",2.84578430594675,45.6824410923098,48.4589335852233,54.7993248723176,0,0,0,0,53.2442418019967,55.597568547258
"58",6.70792014973162,45.8788643648197,123.196592348503,56.6259690347282,0,0,0,0,33.8095185524558,39.9340227930786
"59",4.33643322810933,43.2973013546892,9.64356887268126,14.6131532992847,0,0,0,0,3.90994432239285,3.95598083893951
"60",2.23597338324387,45.963045767324,279.42240808594,18.2664416241059,0,0,0,0,8.62487718174893,12.6698305247117
"61",0,23.5988531686932,110.901042035835,0,0,0,0,0,12.7648182289884,7.8050432768266
"62",44.1774135113638,39.2565940344849,16.1529778617411,0,0,65.2539462406519,0.687513890645232,0,86.9387619920292,92.1636617071854
"63",0,9.31607521047104,34.9579371634696,52.0593586287017,0,0,0,0,14.9497871150315,14.0597697383931
"64",3.65886553621725,27.9201651639117,60.2723054542579,18.2664416241059,0,2.31084801189493,0.297922685946267,0.196797472345376,10.9248444302153,5.72013445630443
"65",5.42054153513666,32.8588074441614,27.9663497307757,0,0,0,0,0,6.20991157085923,6.41510406314515
"66",0,28.1165884364216,12.2955503126686,0,0,0,0,0,0,0
"67",1.55840569135179,19.9790528610102,52.3163611342959,0,0,0,0,0,9.19986899386553,9.19498249050805
"68",0,4.85446087774545,26.0376359562394,0,0,0,0,0,6.66990502055251,5.18554245104233
"69",0,5.69627490278802,0,0,0,0,0,0,0,0
"70",0,1.62750711508229,6.75049821087689,0,0,0,0,0,11.154841155062,9.62265609471773
"71",4.1331629205417,103.458943677731,87.0332090759484,415.561546948408,0,0,0.412508334387139,0,28.1745987937132,31.4340099094112
"72",16.7359219897344,75.3984761763123,702.051813931196,1089.59324287791,68.3021881373241,18.5234642223323,7.40223288928033,3.34555702987139,101.658552382214,93.0190089156047
"73",7.79202845675895,108.032799880462,123.196592348503,800.983465217042,0,0,0,0,4.48493613450944,5.77359365683064
"74",36.114357977848,357.434235033073,364.767992609169,835.689704302843,0,0,1.39794491097864,0.68122201965707,82.5688242199431,94.1951113271813
"75",20.4625442951409,145.493523994857,200.345143329953,504.153788825322,19.5578952816126,0,0.77918240939793,0.423871478897733,83.3738127569063,68.4812358740745
"76",8.74062322540787,88.3904726294692,266.40359010782,675.858340091917,0,0,1.37502778129046,0.802328156484994,49.5642942044505,35.443449948877
"77",10.4345424551381,35.9454588693175,50.6287365815766,103.205395176198,0,7.88622734218109,41.1820820496494,2.17991046290262,0,15.7170049547056
"78",9.48594768648916,56.7102048203674,104.873811490409,331.535915477521,0,8.6198298856398,0,0,9.6598624435588,16.0912193583891
"79",1.76167599891942,12.5430289731342,57.8614132360876,94.0721743641452,0,6.8591837813389,0,0.605530684139618,5.404923033896,2.94025602894153
"80",7.31773107243449,316.662375753511,179.852559475506,914.235403286498,0,0,0.550011112516186,0,0,3.15409283104637
"81",4.0654061513525,57.55201884541,73.0500342105606,219.19729948927,0,0,0,0,4.25493940966281,4.33019524262298
"82",20.1237604491949,308.047812230576,164.90502772285,517.853620043401,0,0,0.802099539086104,0,28.2895971561365,28.6006722815221
"83",14.974245990815,31.3435421990848,217.221388857145,182.664416241059,0,23.3652410091598,0.893768057838802,0,0,66.824000657762
"84",6.03035245783954,103.43088321023,58.1025024579046,229.243842382529,0,0,0.458342593763488,0,0,1.06918401052419
"85",2.91354107513596,16.8082200333499,35.6812048289207,92.2455302017346,0,0,1.81045324536578,0.378456677587261,0,2.88679682841532
"86",45.4647921259588,106.20886949287,244.223381700653,249.336928169045,0,75.7077824849385,7.74598983460295,1.02940216303735,875.367534766305,657.708544073957
"87",5.6915686118935,5.24730742276532,0,0,0,0,2.88755834070998,0,77.1639011860471,35.443449948877
"88",0,1.85199085509364,0,0,0,11.5542400594746,1.16877361409689,0,0,0
"89",183.078790349241,117.040209948418,0,115.078582231867,0,0,0,0,111.663409913043,173.368187306498
"90",4.9462441508122,3.50755843767735,0,0,0,0,0,0,0,0
"91",6.09810922702874,7.12735874536038,0,0,0,0,1.19169074378507,0,0,0
"92",6.03035245783954,65.324768343303,689.997352840344,208.237434514807,0,0,0,0,4.48493613450944,2.45912322420564
"93",73.7871216470478,702.830529508037,695.060226498502,488.627313444832,0,0,0,0,0,35.443449948877
"94",696.336316957493,5793.36412034293,1240.64513547044,3361.93858091668,49.8475587433922,84.0341713531948,2.63546991414006,0,211.366990134061,172.619758499131
"95",317.982517804954,9012.6854358457,1010.40492863518,6423.39419711683,150.345051421217,53.332904909448,2.70422130320458,0.983987361726879,712.414855212462,432.271095454931
"96",183.620844502754,2722.37043605265,1669.06068263931,1570.0006575919,0,0,1.32919352191412,2.90654728387017,118.563311658442,80.2957191903668
"97",16.8714355281129,230.60092192666,83.4168707486929,91.3322081205293,0,0,0,0,14.4897936653382,10.1572480999798
"98",19.5817062956812,548.554079185236,49.4232904724915,234.72377486976,0,0,0,0,0,0
"99",46.5489004329861,678.586285586811,1042.46979513684,361.675544157296,0,0,0,0,0,0
"100",178.742357121131,4981.21000944936,163.458492391947,1927.10959134317,0,0,0,0.893157759105936,16.7897609138046,8.71384968577217
"101",19.513949526492,222.323084013741,48.2178443634063,76.7190548212446,0,0,0,0,0,4.22327684157056
"102",9.96024507081361,116.479000598389,40.9851677088954,49.3193923850858,0,0,0,0,5.63491975874264,5.0251648494637
"103",8.1985690718942,162.301744028206,27.9663497307757,70.3258002528076,0,0,0,0,0,4.06289923999193
"104",6.5724066113532,116.030033118367,23.6267437380691,62.1059015219599,0,0,0,0,0,0
"105",20.3947875259517,242.66692295227,650.458720462351,172.6178733478,0,0,0,0,10.464850980522,7.8050432768266
"106",15.0420027600042,139.404402547049,278.940229642306,91.3322081205293,0,0,0,0,12.1898264168718,7.27045127156451
"107",7.65651491838053,68.6359035084704,0,82.1989873084764,0,0,0,0,7.58989191993906,8.07233927945765
"108",11.2476236854086,86.7068445793841,32.7881341671163,0,0,0,0,0,0,6.20126726104031
